Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
0001-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"BRISTOW TAXI AEREO S.A.";CABO FRIO - RJ;Mar;Mar;Mar;"rafael.koeler";"00058.115135/2025-70";"154/2026";"A"
0002-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"4SKY TÁXI AÉREO LTDA";CAMPINAS - SP;Fev;Mar;Mar;"jose.cosendei";"00058.115231/2025-18";"291/2026";"A"
0003-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SOLAR TÁXI AÉREO LTDA";FORTALEZA - CE;Jul;;;"paulo.jesus";"00058.115287/2025-72";"";"A"
0004-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"MANAUS AEROTAXI PARTICIPACOES LTDA";MANAUS - AM;Fev;Fev;Fev;"marcos.duarte";"00058.115275/2025-48";"148/2026 148/2026";"A"
0005-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"BRASIL JATO TÁXI AÉREO S.A";RIO DE JANEIRO - RJ;Jan;Mar;Mar;"luciano.soares";"00058.115266/2025-57";"337/2026";"A"
0006-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELIBARRA TÁXI AÉREO LTDA";RIO DE JANEIRO - RJ;Fev;Fev;Fev;"rafael.koeler";"00058.115272/2025-12";"155/2026";"A"
0007-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"OMNI TÁXI AÉREO S/A";RIO DE JANEIRO - RJ;Abr;;;"pablo.macedo";"00058.115280/2025-51";"";"A"
0008-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"OPALAIR TAXI AEREO LTDA.";SANTARÉM - PA;Mai;Jun;;"paulo.jesus";"00058.115281/2025-03";"608/2026";"A"
0009-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"PIQUIATUBA TÁXI AÉREO LTDA";SANTARÉM - PA;Jun;Jun;;"paulo.jesus";"00058.115286/2025-28";"608/2026";"A"
0010-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"INTERAVIA TAXI AEREO LTDA";SÃO PAULO - SP;Mar;Mar;Mar;"jose.cosendei";"00058.115274/2025-01";"292/2026";"A"
0011-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"ORTIZ TÁXI AÉREO LTDA";SENADOR GUIOMARD - AC;Jun;;;"luciano.soares";"00058.115283/2025-94";"";"A"
0012-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NHR TÁXI AÉREO LTDA";SOROCABA - SP;Abr;Jun;;"jose.sabbagh";"00058.115276/2025-92";"651/2026";"A"
0013-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NO LIMITS TÁXI AÉREO LTDA";SOROCABA - SP;Abr;Abr;Abr;"luciano.soares";"00058.115279/2025-26";"475/2026";"A"
0014-26;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"ICARAÍ TURISMO TÁXI AÉREO LTDA";BALNEÁRIO CAMBORIÚ - SC;;;;"felipe.gonzaga";"00058.112551/2025-16";"";"A"
0015-26;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AEROTUR TAXI AEREO LTDA";BELÉM - PA;;;;"carlos.montino";"00058.112517/2025-41";"";"A"
0016-26;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"HEISS TÁXI AÉREO LTDA";BELÉM - PA;Jun;Jun;;"fausto.jacobsen";"00058.112547/2025-58";"581/2026";"A"
0017-26;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"SANTARÉM TÁXI AÉREO LTDA";BELÉM - PA;Jul;Jul;;"fausto.jacobsen";"00058.112596/2025-91";"559/2026";"A"
