Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
D0260-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROTUR TAXI AEREO LTDA";Belém - PA;Mai;Jun;;"silvania.marques";"00058.002535/2026-05";"462/2026";"A"
D0261-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROVIDA TÁXI AÉREO LTDA";Goiânia - GO;Mar;Mar;Mar;"fausto.jacobsen";"00058.002538/2026-31";"173/2026";"A"
D0262-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AMAZON GREEN TÁXI AÉREO E SERVIÇOS AERONÁUTICOS LTDA";São José do Rio Preto - SP;Jun;Jun;;"jose.sabbagh";"00058.002540/2026-18";"703/2026";"A"
D0263-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"CEARA TAXI AEREO LTDA";Teresina - PI;Jun;;;"luciano.soares";"00058.002542/2026-07";"";"A"
D0264-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"CHOSEN TÁXI AÉREO LTDA";Rio de Janeiro - RJ;Mar;;;"luciano.soares";"00058.002544/2026-98";"";"A"
D0265-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELIC FLY TÁXI E SERVIÇOS AÉREOS ESPECIALIZADOS LTDA";Belo Horizonte - MG;Abr;Mar;Mar;"fausto.jacobsen";"00058.002549/2026-11";"173/2026";"A"
D0266-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELIRIO TÁXI AÉREO LTDA";Rio de Janeiro - RJ;Jul;;;"rafael.koeler";"00058.002550/2026-45";"";"A"
D0267-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"NEO TAXI AEREO LTDA";Goiânia - GO;Jul;;;"jose.sabbagh";"00058.002551/2026-90";"";"A"
D0268-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HERINGER TAXI AEREO LTDA";Imperatriz - MA;Jul;;;"paulo.jesus";"00058.002556/2026-12";"";"A"
D0269-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"PEMA - PEREIRA MARCELO TAXI AEREO LTDA";Ourilândia do Norte - PA;Ago;;;"paulo.jesus";"00058.002558/2026-10";"";"A"
D0270-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"QUIMIGEL INDUSTRIA, COMERCIO E SERVICOS AEREOS ESPECIALIZADOS LTDA";Monte Mor - SP;Ago;;;"jose.cosendei";"00058.002559/2026-56";"";"A"
D0271-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"STILUS TAXI AEREO LTDA";Belém - PA;Out;;;"pablo.macedo";"00058.002560/2026-81";"";"A"
D0272-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TÁXI AÉREO FORTALEZA LTDA";Fortaleza - CE;Out;;;"silvania.marques";"00058.002566/2026-58";"";"A"
D0273-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VOESYNC TÁXI AÉREO LTDA";Cascavel - PR;Nov;;;"jose.cosendei";"00058.002569/2026-91";"";"A"
D0274-26;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VOLARE TÁXI AÉREO LTDA";Curitiba - PR;Fev;Mar;Mar;"jose.sabbagh";"00058.002571/2026-61";"150/2026";"A"
D0275-26;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"LÍDER TÁXI AÉREO S/A - AIR BRASIL";Belo Horizonte - MG;Jul;Jul;;"christian.duvoisin";"00058.112687/2025-26";"850/2026";"A"
D0276-26;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"VOAR AVIATION TAXI AEREO E MANUTENCAO LTDA.";São Paulo - SP;;;;"bruno.jesus";"00058.112688/2025-71";"";"A"
D0277-26;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"COSTA DO SOL TÁXI AÉREO S.A";Macaé - RJ;;;;"eduardo.berendonk";"00058.112691/2025-94";"";"A"
D0278-26;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"HEISS TÁXI AÉREO LTDA";Belém - PA;;;;"eduardo.berendonk";"00058.112693/2025-83";"";"A"
D0279-26;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"MARICÁ TÁXI AÉREO LTDA";Rio de Janeiro - RJ;Abr;Abr;Abr;"eduardo.berendonk";"00058.112694/2025-28";"617/2026";"A"
D0280-26;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"AMARO AVIATION S.A.";A definir;;;;"savio.ferreira";"00058.112689/2025-15";"";"A"
D0281-26;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"PRIME AVIATION TÁXI AÉREO E SERVIÇOS LTDA";A definir;;;;"marcelo.scussel";"00058.112690/2025-40";"";"A"
D0282-26;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"DUGOMES AIR TAXI AEREO LTDA";Manaus - AM;;;;"carlos.montino";"00058.112696/2025-17";"";"A"
D0283-26;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"BLUE SKY TÁXI AÉREO LTDA";Rio de Janeiro - RJ;;;;"felipe.gonzaga";"00058.112697/2025-61";"";"A"
D0292-26;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"VOARE TAXI AEREO LTDA";Cantá - RR;Fev;;;"gustavo.schettino";"00058.001879/2026-99";"";"A"
D0293-26;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"AMAZONAVES TAXI AEREO LTDA";Manaus - AM;Mar;Abr;Abr;"pablo.macedo";"00058.002579/2026-27";"remota";"A"
