Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N2301-23;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SSBN";PORTO ALEGRE - RS;Fev;Set;;"SFI";"00058.061039/2023-32";"";"A"
N2302-23;"O135-503 - Inspeção de Vigilância de Programa de Treinamento de Solo";GOAG;GOAG_GTVC;"JUST IN AIR TÁXI AÉREO";Belo Horizonte - MG;Mai;Jun;Ago;"mauro.tonelli";"00058.075931/2022-10";"";"A"
N2303-23;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SIFC";IGARASSU - PE;Abr;Out;Out;"";"00058.061063/2023-71";"OS 2026/2023 Agendada 19/10/2023";"A"
N2304-23;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SDCO";SOROCABA - SP;Mai;Set;;"SFI";"00058.061135/2023-81";"2175/2023 Agendada 13/11/2023";"A"
N2305-23;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBRJ";Rio de Janeiro - RJ;Jun;Out;Out;"SFI";"00058.061074/2023-51";"2019/2023";"A"
N2306-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Jul;;;"";"";"";"A"
N2307-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Ago;;;"";"";"";"A"
N2308-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Set;;;"";"";"";"A"
N2309-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;Out;;;"";"";"";"A"
N2310-23;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Fiscalização de aerodesporto RBAC 103";Tamandaré-PE;Out;Out;Out;"SFI";"00058.060720/2023-63";"2003/2023";"A"
