Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N3047-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Ago;Nov;Nov;"SFI";"00058.045224/2022-07";"SIS_Ordem_de_Servico NPI 7798086/2022/NURAC-FOR";"A"
N3048-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Ago;Set;Set;"SFI";"00058.045242/2022-81";"SIS_Ordem_de_Servico NPI 7549463/2022/NURAC-FOR";"A"
N3049-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Set;Nov;Nov;"SFI";"00058.045257/2022-49";"SIS_Ordem_de_Servico 11102022/2022/NURAC-FOR";"A"
N3050-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Set;Set;Set;"SFI";"00058.045259/2022-38";"SIS_Ordem_de_Servico NPI 7549617/2022/NURAC-FOR";"A"
N3051-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Out;Set;Set;"SFI";"00058.045267/2022-84";"SIS_Ordem_de_Servico NPI 7549683/2022/NURAC-FOR";"A"
N3052-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Out;Dez;Dez;"SFI";"00058.045275/2022-21";"NPI 7919886/2022/NURAC-FOR";"A"
N3053-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Nov;Set;Set;"SFI";"00058.045276/2022-75";"SIS_Ordem_de_Servico NPI 7558080/2022/NURAC-FOR";"A"
N3054-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Nov;Out;Out;"SFI";"00058.045280/2022-33";"SIS_Ordem_de_Servico NPI 7689637/2022/NURAC-FOR";"A"
N3055-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Dez;Dez;Dez;"SFI";"00058.045281/2022-88";"NPI 7919846/2022/NURAC-FOR";"A"
N3056-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBFZ";Fortaleza-CE;Dez;Out;Out;"SFI";"00058.045284/2022-11";"SIS_Ordem_de_Servico NPI 7689758/2022/NURAC-FOR";"A"
N3057-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBJV";Joinville-SC;Ago;Ago;Ago;"SFI";"00058.044456/2022-30";"";"A"
N3058-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo-SP;Nov;Set;Set;"SFI";"00058.045386/2022-37";"OS 1315/2022";"A"
N3059-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo-SP;Nov;Set;Set;"SFI";"00058.045395/2022-28";"OS 1317/2022";"A"
N3060-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo-SP;Dez;Out;Out;"SFI";"00058.045399/2022-14";"OS 1475/2022";"A"
N3061-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo-SP;Dez;Out;Out;"SFI";"00058.045413/2022-71";"OS 1477/2022";"A"
N3062-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBMT";São Paulo-SP;Dez;Dez;Dez;"SFI";"00058.045419/2022-49";"OS 1480/2022";"A"
N3063-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo-SP;Nov;Set;Set;"SFI";"00058.045442/2022-33";"OS 1314/2022";"A"
N3064-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo-SP;Dez;Set;Set;"SFI";"00058.045455/2022-11";"OS 1318/2022";"A"
N3065-22;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo-SP;Dez;Out;Out;"SFI";"00058.045458/2022-46";"OS 1476/2022";"A"
