Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N0791-25;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A.R.T. TÁXI AÉREO";ITAITUBA - PA;Fev;Mar;Mar;"gustavo.schettino";"00058.010960/2025-89";"remota";"A"
N0792-25;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"AMBIPAR FLYONE SERVICO AEREO ESPECIALIZADO, COMERCIO E SERVICOS S/A";RIO DE JANEIRO - RJ;Fev;Fev;Fev;"gustavo.schettino";"00058.010963/2025-12";"remota";"A"
N0793-25;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"Voare Táxi Aéreo Ltda";CANTÁ - RR;Fev;Fev;Fev;"gustavo.schettino";"00058.010964/2025-67";"remota";"A"
N0794-25;"RAMP-503 - Inspeção de Rampa ? RBAC 91/135";GOAG;GOAG_GTVC;"Praias - Santo Amaro da Imperatriz/Florianópolis";Florianópolis;Fev;Mar;Mar;"gesse.silva";"00058.016313/2025-81";"98/2025";"A"
N0795-25;"O135-508 - Inspeção Remota de Registros";GOAG;GOAG_GTVC;"CHC DO BRASIL TAXI AEREO S.A.";Rio de Janeiro - RJ;Ago;;;"savio.ferreira";"00058.066280/2025-10";"remota";"A"
N0796-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0797-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0798-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0799-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0800-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0801-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0802-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0803-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0804-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0805-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
N0806-25;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A definir";A definir;;;;"";"";"";"A"
