Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
1761-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"PIQUIATUBA TÁXI AÉREO";Santarém - PA;Fev;Fev;Fev;"luciano.soares";"00058.003948/2023-56";"PCDP 0340/23, 0339/23, OS 154/2023";"A"
1762-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VOLARE TÁXI AÉREO LTDA";Curitiba - PR;Fev;Abr;Abr;"jose.cosendei";"00058.073755/2022-81";"PCDP 0276/23,0277/23, OS 122/2023";"A"
1763-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SALES TÁXI AÉREO LTDA";São Paulo - SP;Fev;Mar;Mar;"jose.cosendei";"00058.073753/2022-92";"OS 84/2023";"A"
1764-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AEROVIDA TÁXI AÉREO LTDA?";Goiânia - GO;Fev;Mar;Mar;"paulo.jesus";"00058.073745/2022-46";"PCDP 0243/23, 0244/23, OS 112/2023";"A"
1766-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"BLACK TÁXI AÉREO";Belo Horizonte - MG;Mar;Mar;Mar;"jose.cosendei";"00058.074065/2022-40";"OS 79/2023";"A"
1767-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"FALCON TÁXI AÉREO EIRELI";Rio de Janeiro - RJ;Mar;Mar;Mar;"rafael.koeler";"00058.074062/2022-14";"OS 128/2023";"A"
1768-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"GATE TÁXI AÉREO LTDA";São Paulo - SP;Mar;Mar;Mar;"fausto.jacobsen";"00058.074061/2022-61";"PCDP 1072/23OS 497/2023";"A"
1769-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HG Aviation";Rio de Janeiro - RJ;Mar;Mar;Mar;"luciano.soares";"00058.074048/2022-11";"OS 123/2023";"A"
1772-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"ELO TÁXI AÉREO";Belém - PA;Abr;Mai;Mai;"luciano.soares";"00058.074103/2022-64";"OS 663/2023 Agendada 22/05/2023";"A"
1773-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TMA TÁXI AÉREO LTDA.";São José dos Pinhais - PR;Abr;Ago;Ago;"jose.cosendei";"00058.074099/2022-34";"OS 1513/2023 - Agendada de 22/08/2023 a 24/08/2023.";"A"
1774-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"TUCANO TÁXI AÉREO LTDA";Cruzeiro do Sul - AC;Mai;Set;Set;"fausto.jacobsen";"00058.074115/2022-99";"OS 1691/2023 Agendado 27/09/2023";"A"
1775-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VEM AVIATION TÁXI AÉREO LTDA";Salvador - BA;Mai;Mai;Mai;"paulo.jesus";"00058.074109/2022-31";"OS 557/2023.  Agendada 16/05/2023";"A"
1776-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"PEMA Táxi Aéreo";Ourilândia do Norte - PA;Jun;Ago;Ago;"paulo.jesus";"00058.074206/2022-24";"OS 1395/2023 - Agendada 15/08/2023.";"A"
1777-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"DUGOMES AIR TAXI AEREO LTDA";Manaus - AM;Jun;Mai;Mai;"paulo.jesus";"00058.074205/2022-80";"OS 919/2023 Agendada 30/05/2023";"A"
1778-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"VOARE Táxi Aéreo Ltda";Cantá - RR;Jun;Nov;Nov;"fausto.jacobsen";"00058.074200/2022-57";"OS 1735/2023 Agendada 22/11/2023";"A"
1780-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"AERO CENTER BRASIL TÁXI AÉREO LTDA";Várzea Grande - MT;Jul;Set;Out;"luciano.soares";"00058.074230/2022-63";"OS 1656 Agendada 24/10/2023";"A"
1781-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELINORTE TÁXI AÉREO";Porto Belo - SC;Jul;Out;Out;"jose.cosendei";"00058.074229/2022-39";"OS 1657/2023 Agendada 31/10/2023";"A"
1782-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"LOGO AIR TÁXI AÉREO LTDA";Igarassu - PE;Jul;Ago;Ago;"luciano.soares";"00058.074223/2022-61";"OS 1562/2023 Agendada 29 a 31/08/2023";"A"
1783-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Abelha Táxi Aéreo e Manutenção Ltda.";Várzea Grande - MT;Jul;Jun;Jun;"luciano.soares";"00058.074220/2022-28";"OS 755/2023 Agendada 27/06/2023";"A"
1784-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"Amazonaves Táxi Aéreo LTDA.";Manaus - AM;Jul;Jul;Jul;"luciano.soares";"00058.074216/2022-60";"OS 851/2023 Agendada 11/07/2023";"A"
