Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
D0177-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBMT";São Paulo - SP;Jun;Jun;Jun;"SFI";"00058.084792/2023-04";"931/2024 968/2024";"A"
D0178-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBBH";Belo Horizonte - MG;Jan;Jan;Jan;"SFI";"00058.084788/2023-38";"OS SFI";"A"
D0181-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBJR";Rio de Janeiro - RJ;Jan;Mar;Mar;"SFI";"00058.084239/2023-63";"83/2024";"A"
D0182-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBSV";Salvador - BA;Jan;Jan;Jan;"SFI";"00058.084236/2023-20";"OS SFI";"A"
D0187-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBSP";São Paulo - SP;Jan;Fev;Fev;"SFI";"00058.084225/2023-40";"193/2024";"A"
D0188-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBEG";Manaus - AM;Jan;Set;Set;"SFI";"00058.084214/2023-60";"SFI 0000832-2024 1742/2024";"A"
D0189-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBRJ";Rio de Janeiro - RJ;Jan;Mar;Mar;"SFI";"00058.084203/2023-80";"83/2024";"A"
D0190-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBBR";Brasília - DF;Fev;Mar;Mar;"SFI";"00058.084825/2023-16";"217/2024";"A"
D0192-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBBI";Curitiba - PR;Abr;Abr;Abr;"SFI";"00058.084807/2023-26";"603/2024";"A"
D0193-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBCB";Cabo Frio - RJ;Fev;Mar;Mar;"SFI";"00058.084823/2023-19";"83/2024";"A"
D0194-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBVT";Vitória - ES;Fev;Jan;Jan;"SFI";"00058.084821/2023-20";"SFI 0000042-2024";"A"
D0195-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SWFN";Manaus - AM;Mai;Set;Set;"SFI";"00058.084819/2023-51";"1741/2024";"A"
D0196-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBRJ";Rio de Janeiro - RJ;Abr;Abr;Abr;"marcio.guimaraes";"00058.084815/2023-72";"GRC 707/2024";"A"
D0198-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBFL";Florianópolis - SC;Fev;Fev;Fev;"SFI";"00058.084811/2023-94";"92/2024";"A"
D0273-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBFL";Florianópolis - SC;Fev;Fev;Fev;"SFI";"00058.084810/2023-40";"92/2024";"A"
D2018-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SIFC";Igarassu - PE;Fev;Fev;Fev;"SFI";"00058.084802/2023-01";"80/2024";"A"
D2019-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SDAM";Campinas - SP;Fev;Jan;Jan;"SFI";"00058.084795/2023-30";"136/2024";"A"
D2020-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBJR";Rio de Janeiro - RJ;Mar;Mar;Mar;"SFI";"00058.084873/2023-04";"83/2024";"A"
D2021-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBSP";São Paulo - SP;Mar;Fev;Fev;"SFI";"00058.084872/2023-51";"193/2024";"A"
D2022-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBMT";São Paulo - SP;Mar;Mar;Mar;"SFI";"00058.084871/2023-15";"499/2024";"A"
D2023-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBJD";Jundiaí - SP;Mar;Fev;Fev;"SFI";"00058.084868/2023-93";"296/2024";"A"
D2024-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBGO";Goiânia - GO;Mar;Mar;Mar;"SFI";"00058.084867/2023-49";"217/2024";"A"
D2025-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBGO";Goiânia - GO;Abr;Abr;Abr;"SFI";"00058.084866/2023-02";"554/2024 554/2024";"A"
D2026-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBBH";Belo Horizonte - MG;Mar;Fev;Fev;"SFI";"00058.084844/2023-34";"182/2024";"A"
D2027-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBNV";Goiânia - GO;Mai;Abr;Mai;"SFI";"00058.084843/2023-90";"554/2024";"A"
D2028-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBBE";Belém - PA;Mar;Fev;Fev;"SFI";"00058.084841/2023-09";"208/2024";"A"
D2029-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBBE";Belém - PA;Mar;Fev;Fev;"SFI";"00058.084837/2023-32";"208/2024";"A"
D2030-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SWNS";Anápolis - GO;Mar;Mar;Mar;"SFI";"00058.084832/2023-18";"217/2024";"A"
D2031-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SDEN";Porto Belo - SC;Mar;Mar;Mar;"SFI";"00058.084828/2023-41";"335/2024";"A"
D2032-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SDEN";Porto Belo - SC;Mar;Fev;Fev;"SFI";"00058.084827/2023-05";"192/2024 192/2024";"A"
D2033-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBNF";Navegantes - SC;Mar;Fev;Fev;"SFI";"00058.084826/2023-52";"192/2024 192/2024";"A"
D2034-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBJR";Rio de Janeiro - RJ;Mai;Mai;Mai;"SFI";"00058.013868/2024-90";"OS 394/24";"A"
D2035-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBSP";São Paulo - SP;Abr;Abr;Abr;"SFI";"00058.013796/2024-81";"761/2024";"A"
D2036-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBBI";Curitiba - PR;Abr;Abr;Abr;"SFI";"00058.013794/2024-91";"602/2024";"A"
D2037-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBME";Macaé - RJ;Abr;Mai;Mai;"SFI";"00058.013790/2024-11";"544/2024";"A"
D2038-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBME";Macaé - RJ;Abr;Mai;Mai;"SFI";"00058.013788/2024-34";"544/2024";"A"
D2039-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBFS";Campos dos Goytacazes - RJ;Mai;Mai;Mai;"SFI";"00058.013786/2024-45";"544/2024";"A"
D2040-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBCY";Cuiabá - MT;Abr;Mai;Mai;"SFI";"00058.013785/2024-09";"478/2024";"A"
D2041-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBCY";Cuiabá - MT;Abr;Mai;Mai;"SFI";"00058.013784/2024-56";"478/2024 478/2024";"A"
D2042-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SIAQ";Cuiabá - MT;Abr;Mai;Mai;"SFI";"00058.013782/2024-67";"478/2024 478/2024";"A"
D2043-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SWFN";Manaus - AM;Abr;Abr;Abr;"SFI";"00058.013780/2024-78";"747/2024";"A"
D2044-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBRJ";Rio de Janeiro - RJ;Abr;Mai;Mai;"SFI";"00058.013777/2024-54";"OS 394/24 394/2024";"A"
D2045-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBUL";Uberlândia - MG;Abr;Abr;Abr;"SFI";"00058.013773/2024-76";"597/2024";"A"
D2046-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;SFI;"SBUL";Uberlândia - MG;Abr;Abr;Abr;"SFI";"00058.013687/2024-63";"597/2024";"A"
